,Actual,Prophet Forecast
74,272.7731018066406,326.34130820229524
75,273.4457092285156,327.61036109435355
76,278.1051940917969,327.9425892258186
77,279.13836669921875,328.1984108947794
78,273.72833251953125,328.464778182171
79,267.119384765625,328.7873850740358
80,273.640625,329.33719456065074
81,263.4054260253906,329.57356132274333
82,276.07763671875,329.7366869134988
83,282.3258972167969,329.91430685339077
84,270.5213928222656,330.15281242877603
85,277.29608154296875,330.48386471083654
86,274.67388916015625,330.6599614577133
87,282.6671447753906,330.7696741639341
88,270.3556213378906,330.9009462502561
89,267.80169677734375,331.1003091769345
90,257.9077453613281,331.3576526553197
91,262.7035827636719,331.52364208455344
92,253.97927856445312,331.6302997953009
93,248.91046142578125,331.7653940651213
94,254.53492736816406,331.9752388777174
95,254.90538024902344,332.30119913312
96,260.09124755859375,332.5013216830585
97,248.24935913085938,332.64707879545745
98,247.33090209960938,332.82578125305474
99,246.7642059326172,333.08324722012463
100,254.6685791015625,333.57065334933327
101,253.66220092773438,333.8287956708854
102,256.4956359863281,334.0336167584833
103,259.798095703125,334.27176743128604
104,266.96966552734375,334.58839991632846
105,265.63104248046875,335.5548118607493
106,266.16845703125,335.807887115867
107,268.2789001464844,336.090461356307
108,263.823486328125,336.44727519693834
109,262.58270263671875,337.19618040160793
110,266.2466735839844,337.5267627595053
111,264.2046203613281,337.7957420369428
112,258.71356201171875,338.0894598498589
113,247.18434143066406,338.45293518811104
114,236.7005615234375,339.19918605802354
115,238.87939453125,339.5231814749184
116,245.98255920410156,339.7838137954935
117,239.348388671875,340.06814765049563
118,241.96688842773438,340.4219450055982
119,247.91714477539062,341.4649514235994
120,247.3211212158203,341.7248408998464
121,252.91964721679688,342.0118646538024
122,261.5567932128906,342.3721005631639
123,258.8113098144531,343.137811034501
124,250.59426879882812,343.4799221672672
125,254.2875518798828,343.76489873289677
126,250.93624877929688,344.07969710276654
127,253.62307739257812,344.4697218532498
128,256.81805419921875,345.69963980151624
129,260.1009826660156,346.01093836404743
130,262.2406921386719,346.348290455109
131,261.51763916015625,346.7560799197225
132,258.4399719238281,347.63028371963924
133,247.84872436523438,347.99147692262113
134,246.9205322265625,348.2843949222548
135,248.24935913085938,348.5946850257865
136,250.8287353515625,348.96667331597655
137,248.41542053222656,349.6836282880729
138,253.57423400878906,349.9777151751414
139,256.2513732910156,350.19765203125297
140,258.762451171875,350.4302432790101
141,254.38519287109375,350.72112578959934
142,252.8903045654297,351.1891277142439
143,246.11935424804688,351.4036166583123
144,262.57293701171875,351.5483158766262
145,270.06689453125,351.7115687311047
146,274.2975158691406,351.94045516770865
147,271.6302185058594,352.27874215166696
148,268.51336669921875,352.4718569662278
149,275.98779296875,352.60708876314186
150,277.1407165527344,352.77297591402623
151,276.41778564453125,353.0165163410057
152,273.88714599609375,353.46588223878865
153,275.82171630859375,353.71539066104907
154,282.5242614746094,353.91458752812525
155,280.433349609375,354.1504313028601
156,285.2112121582031,354.4681775259707
157,286.73541259765625,355.1466372021468
158,285.99285888671875,355.4681054944061
159,285.23895263671875,355.7338268648759
160,284.1129150390625,356.0289456982555
161,280.1767883300781,356.3970488269053
162,271.9521789550781,357.159374373161
163,270.6695251464844,357.4830536840308
164,270.0330810546875,357.7371395253582
165,273.02923583984375,358.00664253384053
166,262.49383544921875,358.3353248165659
167,259.6935729980469,358.9028129789025
168,257.480712890625,359.1394962721421
169,256.0119934082031,359.29790665854574
170,254.96435546875,359.4647590425985
171,250.71493530273438,359.6856634785419
172,247.96360778808594,360.04696477004376
173,252.70254516601562,360.10159490645225
174,253.1235809326172,360.17114175929277
175,258.9395751953125,360.3028242069434
176,261.0838623046875,360.329768726761
177,246.72988891601562,360.412891918696
178,246.95509338378906,360.435189917175
